品牌,型号,CADR 灰尘(m3/h),AHAM认证,最小功率(W),最大功率(W),最小噪音(dB),最大噪音(dB),产地,重量(kg),价格,最大风量,风档,睡眠模式,支持遥控,支持定时,空气质量显示,滤网更新提醒
TCL,TKJ-F260B,"","","",48.0,"","","",6.6,1499.0,"","",false,false,true,false,true
TCL,TKJ-F280B,"","","",56.0,22.0,45.0,中国,6.8,2199.0,280,3,false,true,true,true,true
TCL,TKJ-F300B,"","","",60.0,"",45.0,中国,9.2,"",300,4,true,true,true,true,true
TCL,TKJ-F330A,"","","",6.5,"",65.0,中国,9.2,3800.75,330,4,true,true,true,true,true
cado,AP-C100,81,true,5.3,30.0,30.0,61.0,中国,3.5,3280.0,120,3,false,"",true,false,true
cado,AP-C300,203,true,20.0,10.0,30.0,58.0,中国,9.7,4743.0,360,3,true,"",true,true,true
cado,AP-C500,392,true,25.0,155.0,30.0,58.0,中国,17.5,7980.0,510,3,false,"",true,false,true
cado,AP-C700,400,true,25.0,16.0,30.0,58.0,中国,18.0,9561.1,768,3,"","",true,"",""
三星,501,"","","",4.0,33.0,26.0,"",0.51,"","","","","","","",""
三星,600,"","","",3.0,24.0,17.0,"",0.73,"","",3,"","","","",""
三星,AC-347HPAWQ/SC,253,false,"",36.0,"",58.0,韩国,11.6,5589.0,330,3,true,false,false,true,false
三星,AC-383CSAUA/SC,308,false,"",44.0,"","",韩国,8.7,3280.0,372,3,true,false,true,true,true
三星,AC-405CPAWQ/SC,289,false,"",36.0,"","",韩国,9.7,5300.0,384,3,true,false,true,true,false
三星,AC-505CMAGA/SC,443,false,"",55.0,45.0,58.0,韩国,12.2,5150.0,456,4,true,false,true,true,true
三星,AG-053VKCBB/SC,"","","",3.0,"",26.0,"",0.5,"","",2,"","","","",""
三星,AX-022FCVAND/SC,179,false,"",15.0,"","",韩国,6.1,1980.0,192,4,"","","","",""
三星,AX-022FCVAUW/SC,179,false,"",10.8,"","",韩国,6.1,2580.0,"",3,true,false,true,true,true
三星,AX-034EPXAUW/SC,"","","",36.0,"","",韩国,11.6,5500.0,330,3,true,false,true,true,true
三星,AX-041FCVAUW/SC,305,false,"",34.0,"","",韩国,6.9,"",354,4,"",false,false,true,true
三星,SA501TBCH,"","",2.0,4.0,26.0,33.0,韩国,0.51,"","","",false,"",false,false,false
三星,SA501TPCH,"","",2.0,4.0,26.0,33.0,韩国,0.51,980.0,"","",false,"","","",""
三星,SA501TWCH,"","",2.5,4.8,33.0,26.0,"",0.51,950.0,"",3,false,false,false,false,false
三星,SA600CB,"","",2.0,4.0,25.0,29.0,"","","","","","","","","",""
三星,SA600CBSSEC,"","","","",24.0,17.0,韩国,0.73,1299.0,"",3,false,false,"",false,false
三星,SA600CP,"","",2.0,4.0,25.0,29.0,"","","","","","","","","",""
三星,SA600CPSSEC,"","","","",24.0,17.0,韩国,0.73,959.0,"",3,false,false,false,false,""
三星,SA600CWSSEC,"","","","",24.0,17.0,韩国,0.73,898.0,"",3,false,false,false,false,false
三菱重工,SPA-421AC,252,false,"",50.0,"","",中国,7.9,"",300,4,true,true,true,true,true
三菱重工,SPA-582AC,360,false,"",67.0,"","",中国,7.9,4980.0,348,4,true,true,true,true,true
三菱重工,SPS-361AC,216,false,"",50.0,"","",中国,4.3,2218.0,300,4,true,"",true,true,true
三菱重工,SPS-511AC,306,false,"",50.0,"","",中国,6.2,3180.0,400,4,true,"",true,true,true
东芝,CAF-G50C,295,false,"","","","",泰国,6.3,2699.0,"",4,"","",true,true,true
东芝,CAF-KP40X,192,false,"",40.0,"",49.0,中国,9.4,3699.0,"","","","",true,true,""
东芝,CAF-KP50X,252,false,"",47.0,"",52.0,中国,10.6,4303.5,"","","","",true,true,""
东芝,CAF-P35C,150,false,"","","",49.0,中国,4.8,1499.0,"","","","",true,true,""
亚都,BG200,"","","",6.0,"",55.0,"",0.862,499.0,"",3,"","","",true,""
亚都,KJ130AS,"","","",40.0,"",55.0,"",5.5,798.0,120,3,false,false,false,false,false
亚都,KJ300AS,"","","",65.0,"",55.0,"",7.5,989.0,260,3,false,true,true,false,false
亚都,KJF1282,"","","",40.0,"",55.0,"",13.0,999.0,120,"",false,false,false,true,false
亚都,KJF1353E,"","","",40.0,"",55.0,中国,6.1,799.0,"",3,true,true,true,true,true
亚都,KJF2101A,"","","",55.0,"","","",4.7,680.4,"","","","","","",""
亚都,KJF2106T,100,false,"",40.0,"",55.0,中国,7.4,1799.0,"",3,true,false,true,true,true
亚都,KJF2202T,150,false,"",40.0,"",45.0,中国,8.2,1599.0,150,3,false,true,true,true,true
亚都,KJF2203E,"","","",40.0,"",45.0,中国,8.2,1859.0,150,3,true,true,true,true,true
亚都,KJF2301A,"","","",36.0,"","","",4.9,"","","","","","","",""
亚都,KJF2701T,"","","",40.0,"",44.0,中国,8.5,"","","",true,"",true,false,true
