品牌,型号,CADR 灰尘(m3/h),AHAM认证,最小功率(W),最大功率(W),最小噪音(dB),最大噪音(dB),产地,重量(kg),最大风量,风档,睡眠模式,支持遥控,支持定时,空气质量显示,滤网更新提醒
伊莱克斯,FAC203,"","","","","","",韩国,0.5,"","","","","","",""
伊莱克斯,FAC303,"","","","","","",韩国,0.7,"","","","","","",""
伊莱克斯,Z9000,"","","",37.0,"","",中国,6.9,"","",false,"",true,true,true
伊莱克斯,Z9001,"","","",40.0,"",45.0,中国,6.9,"",3,true,"",true,true,true
厨莱克斯,CL-AP2,"","","",50.0,"","",中国,5.2,300,"",true,"",true,true,true
双鸟,AC-4234,"","","",23.0,"","",中国,1.9,"",3,true,"",true,"",false
夏普,CF-20NZW,"","","","","","","",14.0,"","","","","","",""
夏普,DW-D20HZ,"","","",360.0,"","","",15.0,"","","","","","",""
夏普,FU-25SAW,"","","","",48.0,18.0,"",4.8,"","","","","","",""
夏普,FU-CD20,250,false,"","","","","",5.5,"","","","","","",""
夏普,FZ-BB60XV,"","","","","","",中国,"","","","","","","",""
夏普,FZ-C150VF,"","","","","","",中国,"","","","","","","",""
夏普,IG-A20S,"","",9.0,22.0,34.0,45.0,"",10.5,"",3,"","","","",""
夏普,IG-A40S,"","","",39.0,34.0,47.0,"",15.0,"",3,"","","","",""
夏普,IG-BC2S,"","","","","","","",3.4,"","","","","","",""
夏普,KC-C100SW,"","","",37.0,13.0,50.0,"",9.0,260,"","","","","",""
夏普,KC-C150SW,"","","",54.0,17.0,54.0,"",11.0,380,"","","","","",""
夏普,KC-C70SW,"","","",25.0,15.0,48.0,"",8.0,180,"","","","","",""
夏普,KC-W30,"","","","",37.0,56.0,中国,9.2,"",3,false,false,true,true,false
奥司汀,奥司汀健康宝宝型,"","","",80.0,50.0,66.0,"",5.5,340,3,"","","","",""
奥得奥,ADA602,"","","","","","","","","",3,true,false,true,false,false
奥得奥,ADA981,"","","","","","","","","",3,true,false,true,"",""
奥得奥,奥得奥 空气净化器 ADA...,"","","","","","","","","",3,true,"",true,true,true
奥得奥,奥得奥(AIRDOW)空气净化器 除雾霾...,"","","","","","","","","",3,true,"",true,"",""
奥得奥,奥得奥新风系统空气净化器除PM2.5壁挂...,"","","","","","","","","","",true,"",true,"",""
奥得奥,奥得奥空气净化器 除雾霾PM2.5 大风...,"","","","","","","","","","",true,"",true,"",""
布鲁雅尔,250E,"","","","",30.0,43.0,"",11.0,"","","","","","",""
布鲁雅尔,301,"","","","",32.0,58.0,"",11.0,"","","","","","",""
布鲁雅尔,601,"","","","",30.0,66.0,"",15.5,"","","","","","",""
席爱尔,AC-1230,"","","",42.5,"","","",2.9,"","","","","","",""
席爱尔,AC-2106,"","","",77.0,"","",中国,7.58,"","",true,"",true,true,true
德龙,德龙 DD 40P,"","","","","","","",19.0,"","","","","","",""
