image,brand,website,model,room_size,dust_cadr,pollen_cadr,tobacco_smoke_cadr,energy_star,meets_ozone_limits,voltage_frequency,dimensions,weight
http://www.ahamdir.com./place_holder.gif,Gree,http://www.gree.com.cn,GCF280CANA,186 sq feet + WAS: 220,160,180,120  + WAS: 140,Yes,Yes,115 V 60 Hz,"",""
http://www.ahamdir.com./place_holder.gif,Soleusair Powered by Gree,http://www.gree.com.cn,AH1-CC-01,186 sq feet + WAS: 220,160,180,120  + WAS: 140,Yes,Yes,115 V 60 Hz,"",""
http://www.ahamdir.com./place_holder.gif,Whirlpool,http://www.whirlpoolairpurifiers.com,AP25030K,320 sq feet,215,224,205,No,"",115 V 60 Hz,"",""
http://www.ahamdir.com./place_holder.gif,Whirlpool,http://www.whirlpoolairpurifiers.com,AP45030K,490 sq feet,328,354,315,No,"",115 V 60 Hz,"",""
http://www.ahamdir.com./place_holder.gif,Whirlpool,http://www.whirlpoolairpurifiers.com,AP51030K,490 sq feet,325,401,315,No,"",115 V 60 Hz,"",""
http://www.ahamdir.com./place_holder.gif,Whirlpool,http://www.whirlpoolairpurifiers.com,APR25130L,296 sq feet,198,214,191,No,"",115 V 60 Hz,"",""
http://www.ahamdir.com./place_holder.gif,Whirlpool,http://www.whirlpoolairpurifiers.com,APR25530L,296 sq feet,198,214,191,No,"",115 V 60 Hz,"",""
http://www.ahamdir.com./place_holder.gif,Whirlpool,http://www.whirlpoolairpurifiers.com,APMT2001M,81 sq feet,64  + WAS: 76,70,52,"","",120 V 60 Hz,"",""
http://www.ahamdir.com./place_holder.gif,Whirlpool,http://www.whirlpoolairpurifiers.com,APR45130L,482 sq feet,323,359,311,"","",120 V 60 Hz,"",""
http://www.ahamdir.com./place_holder.gif,Whirlpool,http://www.whirlpoolairpurifiers.com,APT45230L,482 sq feet,323,359,311,Yes,No,120 V 60 Hz,"",""
http://www.ahamdir.com./place_holder.gif,Whirlpool,http://www.whirlpoolairpurifiers.com,APT42010M,490 sq feet,136,150,123,yes,"",120 V 60 Hz,"",""
http://www.ahamdir.com./place_holder.gif,Whirlpool,http://www.whirlpoolairpurifiers.com,APT40010R,190 sq feet,136,150,123,"","",120 V 60 Hz,"",""
http://www.ahamdir.com./place_holder.gif,Whirlpool,http://www.whirlpoolairpurifiers.com,APT30010M,190 sq feet,136,150,123,"","",120 V 60 Hz,"",""
http://www.ahamdir.com./place_holder.gif,Kenmore,http://www.sears.com,437.83396410,317 sq feet,229,251,205,Yes,Yes,120 V 60 Hz,"",""
http://www.ahamdir.com./place_holder.gif,Kenmore,http://www.sears.com,437.83395410,280 sq feet,191,191,181,Yes,Yes,120 V 60 Hz,"",""
http://www.ahamdir.com./place_holder.gif,Kenmore,http://www.sears.com,437.83394410,162 sq feet,111,117,105,Yes,Yes,120 V 60 Hz,"",""
http://www.ahamdir.com./place_holder.gif,Honeywell,www.kaz.com,16200,80 sq feet,44,58,53,No,Yes,120 V 60 Hz,"",""
http://www.ahamdir.com./place_holder.gif,Honeywell,www.kaz.com,17000,200 sq feet,130,130,130,No,Yes,120 V 60 Hz,"",""
http://www.ahamdir.com./place_holder.gif,Honeywell,www.kaz.com,17005,200 sq feet,130,130,130,No,Yes,115 V 60 Hz,"",""
